TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
FOXA3_HepG2,FOXA3,HepG2,2.00836116875493,17963,486,5.10902532520966e-65,57.199
FOXA3_K562,FOXA3,K562,2.61334634991831,3031,261,2.6645556465101e-65,12.738
FOXK2_HepG2,FOXK2,HepG2,1.20301998336144,3078,139,0.016237534945951,47.11
FOXK2_K562,FOXK2,K562,1.35162160586616,4655,775,5.13480763169409e-16,22.638
GABPA_HeLa-S3,GABPA,HeLa-S3,0.131662271238997,7439,465,1,22.767
GABPA_K562,GABPA,K562,0.587925544531868,14166,5419,1,15.273
GATA1_K562,GATA1,K562,6.15332731860714,2789,102,2.72867979561187e-131,125.155
GATA2_K562,GATA2,K562,6.38618082149928,9277,327,0,18.362
GATA4_HepG2,GATA4,HepG2,2.53672471692748,2428,52,6.70998938925306e-15,13.418
GMEB2_HepG2,GMEB2,HepG2,0.0543262250052105,28,28,1,11.139
HLF_HepG2,HLF,HepG2,1.40772651047274,31762,1226,1.74314252622279e-35,180.956
HMBOX1_K562,HMBOX1,K562,1.5450562232525,2053,299,7.96766359170229e-14,27.414
HNF4A_HepG2,HNF4A,HepG2,3.63554189270934,39124,585,0,72.693
HSF2_HepG2,HSF2,HepG2,0.628910067537674,4654,402,1,14.172
IKZF1_K562,IKZF1,K562,1.3477214428436,17635,2945,1.50295372236768e-54,14.525
IRF2_HepG2,IRF2,HepG2,0.503768833942588,5685,613,1,21.134
IRF3_HepG2,IRF3,HepG2,0.0543263893385588,20,20,1,33.272
JUN_HepG2,JUN,HepG2,0.611000296279667,10911,970,1,28.156
JUNB_K562,JUNB,K562,2.06492115635383,14173,1545,2.40131590379051e-195,19.137
JUND_HeLa-S3,JUND,HeLa-S3,2.27043799073705,182173,661,1.21365796706936e-130,14.063
JUND_HepG2,JUND,HepG2,1.44442424874118,46142,1736,2.41505481504802e-57,46.019
JUND_K562,JUND,K562,1.97485618880389,24875,2836,1.38950106160773e-308,41.064
KLF6_HepG2,KLF6,HepG2,0.0967947520613407,5567,3121,1,38.078
LEF1_K562,LEF1,K562,4.47876539975426,4418,222,7.67968804566709e-168,13.493
