TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
NRL,HepG2,NRL_HepG2,0.359382799854643,1080,147,1
MYC,K562,MYC_K562,0.359378557811857,6071,3261,1
RFX1,MCF-7,RFX1_MCF-7,0.356495602091322,40912,948,1
MNX1,HepG2,MNX1_HepG2,0.355225327443641,915,126,1
ELF4,K562,ELF4_K562,0.350179318109556,3914,2158,1
ZNF24,MCF-7,ZNF24_MCF-7,0.349453295155659,28381,671,1
BHLHE40,HepG2,BHLHE40_HepG2,0.347944514384089,7912,1112,1
REST,HepG2,REST_HepG2,0.34398020152556,6675,949,1
NFYB,K562,NFYB_K562,0.341502276313687,3035,1716,1
CREB1,MCF-7,CREB1_MCF-7,0.329307540645797,37354,937,1
ZNF263,K562,ZNF263_K562,0.321856310346125,2642,1585,1
ERF,K562,ERF_K562,0.319807491759367,255,154,1
ZNF263,HepG2,ZNF263_HepG2,0.319806840421938,30810,4706,1
ELF1,HepG2,ELF1_HepG2,0.315064784014777,20882,3239,1
ATF3,HepG2,ATF3_HepG2,0.313534594821547,2641,412,1
CREM,K562,CREM_K562,0.309235892545234,5136,3206,1
ATF7,MCF-7,ATF7_MCF-7,0.307568662284613,30828,828,1
CLOCK,MCF-7,CLOCK_MCF-7,0.305422868625588,4065,110,1
ZNF143,K562,ZNF143_K562,0.302221802696513,2401,1534,1
MXI1,HeLa-S3,MXI1_HeLa-S3,0.300329320613096,4136,99,1
SOX18,HepG2,SOX18_HepG2,0.299095652450235,214,35,0.999999997835316
HSF1,MCF-7,HSF1_MCF-7,0.291119697387256,1268,36,0.999999999791986
RFX5,HeLa-S3,RFX5_HeLa-S3,0.290891421007931,6677,165,1
E2F8,K562,E2F8_K562,0.286134931016535,603,407,1
ZNF740,K562,ZNF740_K562,0.284736419799804,14292,9677,1
MAX,HeLa-S3,MAX_HeLa-S3,0.27948100612926,14504,373,1
VEZF1,K562,VEZF1_K562,0.277830507400916,8100,5625,1
NFYA,K562,NFYA_K562,0.277123415940378,1570,1094,1
