TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
PBX2,K562,PBX2_K562,1.27953451911514,2780,119,0.00371152219294232
TBX18,K562,TBX18_K562,1.27938558946299,584,25,0.129917074253557
HOXA5,HepG2,HOXA5_HepG2,1.27905105685898,519,6,0.356368391679024
NEUROD1,K562,NEUROD1_K562,1.27083392449328,1369,59,0.0368885989439343
MEF2D,HepG2,MEF2D_HepG2,1.26678552606136,4369,51,0.0487361342297408
ESRRA,K562,ESRRA_K562,1.23841352974811,5268,233,0.000560108383388093
JUNB,K562,JUNB_K562,1.23540538921592,8074,358,3.06014699933805e-05
BACH1,K562,BACH1_K562,1.2260275683794,5842,261,0.000513513540566151
MEF2D,K562,MEF2D_K562,1.22271052889311,1719,77,0.0438750153421978
ATF4,K562,ATF4_K562,1.21762701676664,5802,261,0.000770385705700084
GFI1,HepG2,GFI1_HepG2,1.21457378794004,6078,74,0.0503249927114621
FOXK1,HepG2,FOXK1_HepG2,1.15749594534804,5088,65,0.131377316734086
FOS,HeLa-S3,FOS_HeLa-S3,1.15570532699652,37093,80,0.105283922124632
FOS,K562,FOS_K562,1.15160041633457,2397,114,0.074412252375374
FOSL2,MCF-7,FOSL2_MCF-7,1.14703559999418,40258,182,0.0328880452549457
MAFK,K562,MAFK_K562,1.14439923099108,6477,310,0.00989237366263623
NFE2L2,HeLa-S3,NFE2L2_HeLa-S3,1.14249787414774,9168,20,0.321348394053411
CUX1,MCF-7,CUX1_MCF-7,1.13946524513327,1978,9,0.426837407699057
TCF7L2,K562,TCF7L2_K562,1.12062842208477,266,13,0.409827382963552
NR2F1,K562,NR2F1_K562,1.11298423130445,9408,463,0.0121005526919924
ZKSCAN1,K562,ZKSCAN1_K562,1.10799979854607,1052,52,0.260200855217285
TEAD1,HepG2,TEAD1_HepG2,1.10544306701974,9494,127,0.139498404068978
JUND,MCF-7,JUND_MCF-7,1.09954290383641,28628,135,0.144416157042667
CEBPA,HepG2,CEBPA_HepG2,1.09783526486712,12027,162,0.125794979785455
ESR1,MCF-7,ESR1_MCF-7,1.08948346371977,25635,122,0.184530760929768
IKZF1,K562,IKZF1_K562,1.08680818325962,13393,675,0.0174269521481154
NFIL3,HepG2,NFIL3_HepG2,1.06751727802146,6353,88,0.292863100354604
FOXK2,K562,FOXK2_K562,1.06126493554052,3236,167,0.240420040255805
ZBTB26,HepG2,ZBTB26_HepG2,1.05874332407712,6444,90,0.317996099143872
ESRRA,HepG2,ESRRA_HepG2,1.0557926267688,8925,125,0.291482893449159
NR5A1,HepG2,NR5A1_HepG2,1.05123015500808,12512,176,0.269733761192795
MEIS2,K562,MEIS2_K562,1.01808387964784,2398,129,0.444204213923482
HNF1B,HepG2,HNF1B_HepG2,1.00675967839523,4766,70,0.509375373306554
SPI1,K562,SPI1_K562,1.00557042850533,13697,746,0.450910239436649
NFE2L1,HepG2,NFE2L1_HepG2,0.987745834380106,1002,15,0.586775312934247
ZEB1,HepG2,ZEB1_HepG2,0.982147076996258,5513,83,0.593206382657167
HLF,HepG2,HLF_HepG2,0.978386594645631,14557,220,0.642649310534587
TFAP4,HepG2,TFAP4_HepG2,0.973283805942998,18299,278,0.686564164625039
RREB1,HepG2,RREB1_HepG2,0.972067252539042,17290,263,0.689709909598088
ZSCAN29,HepG2,ZSCAN29_HepG2,0.967920133784899,2422,37,0.620186342397916
NFIA,HepG2,NFIA_HepG2,0.962438852064876,2929,45,0.638080887502558
CEBPG,K562,CEBPG_K562,0.96041856090543,2876,164,0.709677443259745
NFIB,HepG2,NFIB_HepG2,0.950403211547921,2571,40,0.663853039523561
TEAD4,HepG2,TEAD4_HepG2,0.94381655424407,9064,142,0.768465864378404
PKNOX1,K562,PKNOX1_K562,0.930527904932521,8343,491,0.941073018832995
MAFF,K562,MAFF_K562,0.924037978923405,2514,149,0.836819572078552
CEBPG,HepG2,CEBPG_HepG2,0.913007205909626,6113,99,0.829800113949633
NR2C1,K562,NR2C1_K562,0.909713625637938,4103,247,0.928842265603242
IRF1,HepG2,IRF1_HepG2,0.893341394935923,2900,48,0.804959539405173
RFX7,K562,RFX7_K562,0.876277308795203,32,2,0.741628915579927
RFX5,K562,RFX5_K562,0.876270510853475,480,30,0.791948340297001
CEBPB,HepG2,CEBPB_HepG2,0.86970706616504,6882,117,0.936675668001489
IRF9,K562,IRF9_K562,0.84203627900987,615,40,0.872155154938267
FOSL1,HepG2,FOSL1_HepG2,0.83898955409801,7320,129,0.976296024671643
RELA,HepG2,RELA_HepG2,0.835174356613134,1638,29,0.855998333138594
USF2,HeLa-S3,USF2_HeLa-S3,0.828534389060425,26598,80,0.955999698740428
CEBPB,K562,CEBPB_K562,0.818304505224842,4752,318,0.999664065220519
