TF_name,cell_line,TF_cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value
TFE3,HepG2,TFE3_HepG2,0.259738249710616,2422,455,1
YY1,K562,YY1_K562,0.25875295444379,1534,1141,1
MYC,HepG2,MYC_HepG2,0.258584768257251,9713,1832,1
REST,K562,REST_K562,0.258253855431751,9596,7143,1
MYC,HeLa-S3,MYC_HeLa-S3,0.247368775997041,7695,223,1
ZNF148,K562,ZNF148_K562,0.246927511455657,20684,16074,1
NR2C2,HeLa-S3,NR2C2_HeLa-S3,0.246832057020131,2892,84,1
EGR1,K562,EGR1_K562,0.23996484349306,30825,24607,1
CTCF,MCF-7,CTCF_MCF-7,0.238982926972216,263993,9048,1
ATF6,HepG2,ATF6_HepG2,0.238906319868507,328,67,1
KLF13,K562,KLF13_K562,0.238583895138484,1376,1110,1
ETV5,K562,ETV5_K562,0.232828869038003,2127,1758,1
TEAD2,HepG2,TEAD2_HepG2,0.226089620107947,366,79,1
ZBED1,K562,ZBED1_K562,0.223496233289951,137,118,1
MLX,HepG2,MLX_HepG2,0.219924460087859,2186,485,1
CTCF,HepG2,CTCF_HepG2,0.213596522773741,86526,19633,1
THAP11,HepG2,THAP11_HepG2,0.2110247620015,13220,3054,1
RFX1,HepG2,RFX1_HepG2,0.208514579098426,4163,974,1
JUN,MCF-7,JUN_MCF-7,0.208271148168031,3941,156,1
CTCF,HeLa-S3,CTCF_HeLa-S3,0.20679928172364,244260,8417,1
REST,MCF-7,REST_MCF-7,0.205800319334421,14883,596,1
NFKB2,HepG2,NFKB2_HepG2,0.204736028477649,3609,860,1
ZBTB7B,MCF-7,ZBTB7B_MCF-7,0.204169449344208,2204,89,1
ZNF143,HepG2,ZNF143_HepG2,0.202038081133189,4361,1053,1
ZNF740,HepG2,ZNF740_HepG2,0.201040605843857,22524,5457,1
PRDM4,HepG2,PRDM4_HepG2,0.200085740045456,164,40,0.999999999999998
ELK3,K562,ELK3_K562,0.192504671337583,9,9,0.999851198070857
MNT,MCF-7,MNT_MCF-7,0.189524510991408,15961,694,1
ZBTB7A,HepG2,ZBTB7A_HepG2,0.188865966302748,2067,534,1
CTCF,K562,CTCF_K562,0.187072836445749,34450,35184,1
ZBTB7A,K562,ZBTB7A_K562,0.18601689602004,2418,2501,1
RFX3,HepG2,RFX3_HepG2,0.18360161549727,4253,1130,1
E2F1,HeLa-S3,E2F1_HeLa-S3,0.181097111713836,1945,77,1
ZBTB33,K562,ZBTB33_K562,0.180550704030183,1168,1245,1
SREBF2,HeLa-S3,SREBF2_HeLa-S3,0.173667545913084,218,9,0.999993251949809
CREM,HepG2,CREM_HepG2,0.173190340703569,5582,1572,1
ATF6,K562,ATF6_K562,0.172585285056463,130,145,1
TCF3,HepG2,TCF3_HepG2,0.17096254930991,988,282,1
NFYA,HeLa-S3,NFYA_HeLa-S3,0.169337956692644,5315,225,1
XBP1,HepG2,XBP1_HepG2,0.168925447044327,270,78,1
MAZ,K562,MAZ_K562,0.168620342141762,18458,20976,1
NFYC,HepG2,NFYC_HepG2,0.167288300077428,5735,1672,1
HINFP,K562,HINFP_K562,0.16504361608355,415,484,1
TFDP1,K562,TFDP1_K562,0.161659953412303,2690,3201,1
KLF4,MCF-7,KLF4_MCF-7,0.160441711198256,39000,2001,1
E2F6,K562,E2F6_K562,0.159829332784725,6648,7993,1
SPDEF,MCF-7,SPDEF_MCF-7,0.146632933129818,5728,322,1
ELF1,MCF-7,ELF1_MCF-7,0.146603236922247,36315,2039,1
GABPA,HeLa-S3,GABPA_HeLa-S3,0.146155474843003,7361,361,1
KLF13,HepG2,KLF13_HepG2,0.144904741167396,977,329,1
MSX2,MCF-7,MSX2_MCF-7,0.144875762435693,492,28,0.999999999999998
E2F1,K562,E2F1_K562,0.14332278912958,627,842,1
ETV5,HepG2,ETV5_HepG2,0.142441636388269,5348,1831,1
EGR1,HepG2,EGR1_HepG2,0.142161433025228,49356,16834,1
NFYB,HeLa-S3,NFYB_HeLa-S3,0.14117623228584,9317,473,1
KLF16,HepG2,KLF16_HepG2,0.140785476119206,16891,5842,1
OVOL1,MCF-7,OVOL1_MCF-7,0.135093384708946,3720,227,1
TCFL5,K562,TCFL5_K562,0.128335899135674,18,27,0.999999999995854
