TF_cell_line,TF_name,cell_line,odds_ratio,overlap_bp_NFR,overlap_bp_NDR,p_value,expression_level
SMAD3_HepG2,SMAD3,HepG2,0.0907537466691912,1681,396,1,22.824
SP1_H1,SP1,H1,0.0226267420645166,104709,3872,1,20.044
SP1_HepG2,SP1,HepG2,0.0184705966867604,21305,24624,1,18.184
SP1_K562,SP1,K562,0.0235494384925237,20155,54158,1,37.404
SPI1_K562,SPI1,K562,0.141005842563146,63522,28538,1,12.521
SREBF1_K562,SREBF1,K562,0.0639188306075371,749,743,1,20.77
SREBF2_HeLa-S3,SREBF2,HeLa-S3,0.14774547311668,952,72,1,23.51
SREBF2_K562,SREBF2,K562,0.0794511446604501,208,166,1,42.778
SRF_H1,SRF,H1,0.304279171220972,38093,105,1,28.779
SRF_HepG2,SRF,HepG2,0.137947812618239,9705,1504,1,51.26
SRF_K562,SRF,K562,0.198520458560664,10815,3454,1,28.712
STAT3_HeLa-S3,STAT3,HeLa-S3,0.137917835173006,21935,1777,1,25.535
TBX18_K562,TBX18,K562,0.0959046712020988,1207,798,1,16.86
TBX3_HepG2,TBX3,HepG2,0.0627344699493352,3225,1099,1,17.534
TCF3_HepG2,TCF3,HepG2,0.0517770155859625,3197,1320,1,26.145
TCF3_K562,TCF3,K562,0.0623326132668421,7180,7302,1,27.432
TEAD1_HepG2,TEAD1,HepG2,0.0675505546346264,21876,6921,1,13.307
TEAD4_H1,TEAD4,H1,0.101617493115682,90055,743,1,43.986
TEAD4_HepG2,TEAD4,HepG2,0.0757168811087979,20537,5797,1,51.057
TEAD4_K562,TEAD4,K562,0.107174264338901,8040,4756,1,13.974
TFCP2_K562,TFCP2,K562,0.0842954707885454,795,598,1,25.179
TFDP1_HepG2,TFDP1,HepG2,0.0278122573005828,10326,7934,1,21.553
TFDP1_K562,TFDP1,K562,0.0279844198503222,10503,23777,1,50.457
TGIF2_HepG2,TGIF2,HepG2,0.0698722701625757,5746,1758,1,42.89
THAP11_HepG2,THAP11,HepG2,0.0511439051146313,28992,12111,1,54.116
USF1_H1,USF1,H1,0.179021491930886,277445,1299,1,15.905
USF1_HepG2,USF1,HepG2,0.154499160919643,86149,11914,1,16.612
USF1_K562,USF1,K562,0.0956453456335406,25211,16704,1,27.842
USF2_H1,USF2,H1,0.0791128676752773,69923,741,1,52.655
USF2_HeLa-S3,USF2,HeLa-S3,0.186675732267189,63061,3774,1,34.928
USF2_HepG2,USF2,HepG2,0.117103643011741,33346,6086,1,74.787
USF2_K562,USF2,K562,0.122961216435562,40350,20793,1,36.013
VEZF1_K562,VEZF1,K562,0.027451551577807,18839,43444,1,12.179
XBP1_HepG2,XBP1,HepG2,0.0404941202481609,608,321,1,237.334
YY1_H1,YY1,H1,0.0390623357255073,59146,1269,1,34.797
YY1_HepG2,YY1,HepG2,0.0258087087239144,4424,3664,1,16.884
YY1_K562,YY1,K562,0.0427082081776904,4902,7276,1,18.178
ZBTB33_K562,ZBTB33,K562,0.0661370727000292,7972,7641,1,14.011
ZBTB7B_HepG2,ZBTB7B,HepG2,0.0705577842633518,15677,4749,1,14.957
ZKSCAN1_HeLa-S3,ZKSCAN1,HeLa-S3,0.363924571572429,7556,232,1,14.094
ZKSCAN1_HepG2,ZKSCAN1,HepG2,0.253346959548654,9421,795,1,49.981
ZKSCAN1_K562,ZKSCAN1,K562,0.247064130007259,7953,2041,1,29.789
ZNF143_HeLa-S3,ZNF143,HeLa-S3,0.0731651576539927,9757,1490,1,13.492
ZNF143_HepG2,ZNF143,HepG2,0.04827199354619,10111,4477,1,10.193
ZNF143_K562,ZNF143,K562,0.0548191324393587,5876,6795,1,16.694
ZNF24_HepG2,ZNF24,HepG2,0.154677724371028,36082,4986,1,19.304
ZNF24_K562,ZNF24,K562,0.256271672947596,108212,26754,1,53.337
ZNF274_HeLa-S3,ZNF274,HeLa-S3,5.40329677422115,4352,9,4.65011659992414e-12,13.841
ZNF274_HepG2,ZNF274,HepG2,0.139394985769567,8620,1322,1,15.374
ZNF274_K562,ZNF274,K562,1.34756001282962,5398,254,7.00144626322985e-07,27.038
ZNF282_HepG2,ZNF282,HepG2,0.162351834163294,243,32,0.999999999999999,11.458
ZNF282_K562,ZNF282,K562,0.063077724533344,1933,1943,1,17.681
ZNF384_HepG2,ZNF384,HepG2,0.0804904844919977,296820,78492,1,20.804
ZNF384_K562,ZNF384,K562,0.114547665912378,229757,126633,1,15.235
ZNF460_HepG2,ZNF460,HepG2,0.133988360960935,115314,18382,1,12.671
ZNF740_HepG2,ZNF740,HepG2,0.0477487270704591,55143,24655,1,12.53
ZNF740_K562,ZNF740,K562,0.0255746000132949,35114,86776,1,19.283
