TF_name,cell_line,TF_cell_line,odds_ratio,p_value,overlap_bp_NFR,overlap_bp_NDR,qvalues
NRF1,H1,NRF1_H1,0.0630530921978407,1,2104,2311,1
NRF1,HeLa-S3,NRF1_HeLa-S3,0.00693649888418685,1,298,1832,1
NRF1,K562,NRF1_K562,0.0811074942856564,1,3272,39239,1
NRF1,MCF-7,NRF1_MCF-7,0.0118090563540439,1,1885,6029,1
OVOL1,MCF-7,OVOL1_MCF-7,0.193094971177406,1,1781,349,1
PBX2,K562,PBX2_K562,1.87880967062348,2.23400408671781e-113,3573,1856,1.43534762571619e-111
PKNOX1,K562,PKNOX1_K562,0.934804229409713,0.999987087122038,7600,7933,1
PKNOX1,MCF-7,PKNOX1_MCF-7,0.421584752585227,1,25077,2250,1
POU5F1,H1,POU5F1_H1,6.83558389517873,5.73693185280356e-67,3939,40,2.45731914361752e-65
PRDM1,HeLa-S3,PRDM1_HeLa-S3,0.664344597105295,0.999999999995088,5108,328,1
RBPJ,K562,RBPJ_K562,1.37852888388438,0.00328323834340177,178,126,0.0210948063563564
RELA,K562,RELA_K562,0.965925665639834,0.699068636519392,391,395,1
REST,H1,REST_H1,0.538884619175305,1,4769,614,1
REST,HeLa-S3,REST_HeLa-S3,0.584318746561462,1,11657,851,1
REST,K562,REST_K562,0.236954088791459,1,4257,17510,1
REST,MCF-7,REST_MCF-7,0.32566738361773,1,9753,1133,1
RFX1,K562,RFX1_K562,0.712298621983945,1,4092,5605,1
RFX1,MCF-7,RFX1_MCF-7,0.537724571594021,1,25556,1798,1
RFX5,H1,RFX5_H1,0.275838458436405,1,477,120,1
RFX5,HeLa-S3,RFX5_HeLa-S3,0.396080684274814,1,3259,351,1
RFX5,K562,RFX5_K562,0.289261994620373,1,150,506,1
RFX5,MCF-7,RFX5_MCF-7,0.196796021848486,1,3178,611,1
RFX7,K562,RFX7_K562,0.600496938785471,0.962717553658414,16,26,1
RREB1,K562,RREB1_K562,0.497803391110991,1,2019,3957,1
RUNX1,K562,RUNX1_K562,1.493662098905,6.20853952305985e-10,574,375,6.136902528563e-09
SMAD3,K562,SMAD3_K562,0.834571127204871,0.942452107341468,130,152,1
SMAD5,K562,SMAD5_K562,0.209867869601274,1,97,451,1
SP1,H1,SP1_H1,0.267943369310345,1,13131,3393,1
SP1,K562,SP1_K562,0.0924103697384946,1,2796,29454,1
SP1,MCF-7,SP1_MCF-7,0.0212679699133744,1,619,1101,1
SP2,H1,SP2_H1,0.0735382938293331,1,756,713,1
SP2,K562,SP2_K562,0.0559955217805697,1,262,4564,1
SP4,H1,SP4_H1,0.132471283906865,1,7163,3741,1
SPDEF,MCF-7,SPDEF_MCF-7,0.16102906317419,1,2958,695,1
SPI1,K562,SPI1_K562,0.809759164705683,1,9970,12012,1
SREBF1,K562,SREBF1_K562,0.429575806052535,1,151,343,1
SREBF1,MCF-7,SREBF1_MCF-7,0.497073403283766,1,5583,425,1
SREBF2,HeLa-S3,SREBF2_HeLa-S3,0.0767883892203157,1,81,45,1
SREBF2,K562,SREBF2_K562,0.861006893478229,0.797961359201196,45,51,1
SRF,H1,SRF_H1,1.86774370853538,9.48467199279603e-11,2422,90,9.75024280859432e-10
SRF,K562,SRF_K562,1.2898367907789,4.71601806667119e-14,1980,1498,5.77150782444998e-13
SRF,MCF-7,SRF_MCF-7,0.637738352978994,1,6674,396,1
STAT3,HeLa-S3,STAT3_HeLa-S3,0.961294871110268,0.800284631776131,10050,446,1
TBX18,K562,TBX18_K562,0.945217350302015,0.772127969974789,309,319,1
TCF3,K562,TCF3_K562,0.551862089005577,1,1793,3170,1
TCF7,K562,TCF7_K562,0.632636694020398,0.999999999999569,389,600,1
TCF7L2,HeLa-S3,TCF7L2_HeLa-S3,0.576906808786285,1,9548,706,1
TCF7L2,K562,TCF7L2_K562,0.481910400121221,0.999999999999998,161,326,1
TCF7L2,MCF-7,TCF7L2_MCF-7,0.733835426399351,0.999999999979197,10065,519,1
TCFL5,K562,TCFL5_K562,0.173905158595877,1,18,101,1
TEAD1,K562,TEAD1_K562,0.989374942831362,0.600589738703789,948,935,1
TEAD2,K562,TEAD2_K562,0.698773716729301,0.999999999999607,671,937,1
TEAD4,H1,TEAD4_H1,2.49974878975113,1.67336638374509e-81,11881,330,8.60110321244976e-80
TEAD4,K562,TEAD4_K562,0.950168435027472,0.952853015172059,2076,2132,1
TEAD4,MCF-7,TEAD4_MCF-7,0.818402492685085,0.999242124815676,5861,271,1
TFCP2,K562,TFCP2_K562,0.617893369369142,0.999999905985548,183,289,1
TFDP1,K562,TFDP1_K562,0.0795293470005737,1,1076,13188,1
TFE3,K562,TFE3_K562,0.745673153163243,1,1776,2324,1
THAP1,K562,THAP1_K562,0.0483040347262527,1,40,808,1
USF1,H1,USF1_H1,0.706737187815469,1,9351,918,1
USF1,K562,USF1_K562,0.836849088264255,1,5912,6893,1
USF2,H1,USF2_H1,0.406689187802253,1,3400,580,1
USF2,HeLa-S3,USF2_HeLa-S3,0.491721708681324,1,18803,1631,1
USF2,K562,USF2_K562,0.815860659772717,1,7183,8590,1
VEZF1,K562,VEZF1_K562,0.21114641180758,1,4253,19628,1
YY1,H1,YY1_H1,0.353898518909411,1,5363,1051,1
YY1,K562,YY1_K562,0.245617309770861,1,1028,4083,1
ZBED1,K562,ZBED1_K562,0.0921750521202324,1,29,307,1
ZBTB12,K562,ZBTB12_K562,0.550605866546381,0.999999999976554,180,319,1
ZBTB33,K562,ZBTB33_K562,0.160481685078676,1,648,3939,1
ZBTB33,MCF-7,ZBTB33_MCF-7,0.323454009206824,0.999999999519725,359,42,1
ZBTB7A,K562,ZBTB7A_K562,0.103038433441474,1,958,9066,1
ZBTB7B,MCF-7,ZBTB7B_MCF-7,0.0737269311658139,1,795,408,1
ZKSCAN1,HeLa-S3,ZKSCAN1_HeLa-S3,0.958085650677042,0.667273947259333,1617,72,1
ZKSCAN1,K562,ZKSCAN1_K562,0.875349620305815,0.995886953866995,732,816,1
ZKSCAN1,MCF-7,ZKSCAN1_MCF-7,0.853330041641768,0.857026262016513,902,40,1
ZNF143,H1,ZNF143_H1,0.17945270650346,1,2246,868,1
ZNF143,HeLa-S3,ZNF143_HeLa-S3,0.0494760072093772,1,1131,975,1
ZNF143,K562,ZNF143_K562,0.186868506340712,1,840,4385,1
ZNF148,K562,ZNF148_K562,0.161208788601881,1,9672,58290,1
ZNF24,K562,ZNF24_K562,0.888607087876924,1,10203,11203,1
ZNF24,MCF-7,ZNF24_MCF-7,0.32419372751213,1,15924,1858,1
ZNF263,K562,ZNF263_K562,0.251539633219069,1,1409,5464,1
ZNF274,K562,ZNF274_K562,2.03773042836599,4.49017422258334e-07,142,68,3.72249927485135e-06
ZNF282,K562,ZNF282_K562,0.400382852175911,1,421,1026,1
ZNF384,K562,ZNF384_K562,0.704646087842798,1,40089,55435,1
ZNF740,K562,ZNF740_K562,0.169430097072533,1,6845,39308,1
ZSCAN29,K562,ZSCAN29_K562,0.597736968874841,1,672,1097,1
